Place,Details,Class,WordCount
Porto Cathedral,"The Cathedral of Porto, located on the prominent hills of Porto, is one of the ancient monuments of the city. The overall architectural structure of the church presents a mix of Gothic and Baroque styles. The front ornate rose window and gate and the main altar itself are purely late Baroque. The elegant Gothic cloister inside is a refreshing experience. The church, which has existed as a city landmark for nearly a thousand years, was built around 1110 and took a century to construct. There are still many exquisite architectural features that are intriguing to this day. The square bell towers on both sides of the church are unusual because the facade decoration is almost empty, and the zigzag structure at the top makes it seem to incorporate some architectural elements of the castle. In addition, there are many pleasing blue flower tile murals inside the church, which is also a major feature of Portuguese architecture.",None Related,156
Navagio,"Shipwreck Bay is located on the northern west coast of Zakynthos Island. It is a well-known scenic spot on the island. It is well-known to the Chinese because the popular Korean drama ""Descendants of the Sun"" was filmed here. The bay is named for the wrecked ships that ran aground on the beach, and the entire Shipwreck Bay can be overlooked from a hilltop viewing platform a few hundred meters high from a nearby cliff. Steep cliffs surround the white sandy beach on three sides, and the surrounding sea water is from far to near, from deep to shallow, showing three different levels of blue: sapphire blue, fluorescent blue, and cream blue, as beautiful as being in a fantasy fairyland. Such beautiful scenery not only attracted the filming crew of ""Descendants of the Sun"", but also the famous Japanese animation master Hayao Miyazaki. inside the animation.",None Related,146
Syntagma Square,"It's an open, tree-lined city square with fountains, cafés and park benches, and you can watch the Changing of the Guard ceremony on the hour.",None Related,25
Rossio Square,"Rossio Square, officially known as Piazza Pedro IV, is located at the end of Via Augusta. It was the site of popular uprisings and celebrations, bullfights and executions. Today the square has become a favorite meeting place for Lisbon locals and tourists alike. Some of the cafés and shops on the square date back to the 18th century, such as Café Nicola. The square was built in the 13th century, and although it was destroyed in a major earthquake, it still maintains its basic appearance. The area of the square is small, the design imitates the Place de la Concorde in Paris, and the Portuguese-style gravel road that represents the characteristics of Portugal is laid. There are not only beautiful buildings on the square, but also beautiful fountain landscapes. In the center of the square stands a monument to Pedro IV to commemorate the king who gave up the throne and spent his life overthrowing the Portuguese autocracy, so it is also known as Pedro IV Square. If you look closely, there are four small female statues at the bottom of this monument, which symbolize justice, wisdom, strength and self-discipline, which is also Pedro IV's evaluation of himself. People usually come to the square in the evening, or feed the pigeons, or listen to the gypsy music played by the street band, and some people dance at will, which is really lively. There are also many 18th and 19th century buildings around the square, and there are hawker stalls selling spices scattered among them, and the fragrance is very strong, making people irresistible. In addition, it is also the transportation hub of Lisbon. The Metro Rossio station and most of the buses and trams pass through here, and it is also the place where Lisbon must pass every day.",None Related,299
Sintra,"The city of Sintra is about 28 kilometers away from Lisbon. It is located at the foot of the Sintra Mountains and in the Sintra-Cascais National Natural Park. The Romans and Moors once settled here. The city of Sintra was listed as a World Heritage Site in 1995. The city of Sintra is not big, but there are many attractions to see. If you don't want to take a look at the flowers, set aside a day to savor its charm. Sintra is built on the mountain, surrounded by towering ancient trees and exotic trees. The forest is dense with fog, and the ears are chirping of birds and insects. Walking into it is like entering the forest. The road signs can reach the attractions smoothly, without worrying about getting lost, you can also enjoy the charming scenery along the way.",None Related,141
Three Bells of Fira,"As a postcard-style landmark building in Santorini, there are actually many blue-roofed churches in Santorini, but the most famous one is the blue-roofed church that appeared in the National Geographic magazine. It is located in the town of Fira. the blue-roofed church. This church, also known as the Church of Santa Maria delle Grazie, is located on the seaside promenade between the towns of Fira and Firostefani. The blue-roofed church is small, on a hillside next to the sea, so from the town of Fira, you can see the classic combination of white buildings, blue domes and blue sea. This is not only a place for tourists from the Holy Island to travel, but also a classic background scenery for taking wedding photos.",None Related,123
Sintra National Palace,"The Royal Palace of Sintra is located in Sintra, near Lisbon, Portugal. It was built by John I and was not completed until the reign of Manuel I in the 16th century. It is Portugal's well-preserved medieval royal palace and was more or less continuously inhabited by the royal family from the early 15th century to the late 19th century. The palace combines Moorish and Visigothic architectural styles, and its large chimney is particularly eye-catching. The two tall white chimneys are very similar to horns, so they are also called ""Horn Palace"". The Royal Palace was the king's summer palace until the Portuguese republic was established. There are many characteristic rooms in the palace, among which the large Swan Hall is beautifully decorated, and 27 swans in different poses are depicted on the ceiling. There is also the Mermaid Room decorated with tiles, the China Room with the collection of Chinese ivory towers, and the Badge Room decorated with beautiful tile murals and aristocratic badges. As part of the cultural landscape of Sintra, it is listed as a World Heritage Site by UNESCO.",None Related,183
Porto Cathedral,"The Cathedral of Porto, located on the prominent hills of Porto, is one of the ancient monuments of the city. The overall architectural structure of the church presents a mix of Gothic and Baroque styles. The front ornate rose window and gate and the main altar itself are purely late Baroque. The elegant Gothic cloister inside is a refreshing experience. The church, which has existed as a city landmark for nearly a thousand years, was built around 1110 and took a century to construct. There are still many exquisite architectural features that are intriguing to this day. The square bell towers on both sides of the church are unusual because the facade decoration is almost empty, and the zigzag structure at the top makes it seem to incorporate some architectural elements of the castle. In addition, there are many pleasing blue flower tile murals inside the church, which is also a major feature of Portuguese architecture.",None Related,156
Avenida da Liberdade,"Liberty Avenue is the main street in Lisbon. This prosperous commercial street is about 1.2 kilometers long. The exquisitely paved stone walkway is inlaid with beautiful painted floor tiles. On both sides of the road are endless dense trees, and there are many Hotels, various fashion shops, known as Portugal's ""Champs Elysees"". Liberty Avenue divides Lisbon into two major areas, the east-south part is the old city of Alfama, and the west side is roughly divided into two major areas: the north and the south - the Bairro Alto area in the north and the Bairro Alto area in the south. Chiado. This street was built after Lisbon's 1755 earthquake and is considered a masterpiece of Lisbon's reconstruction history. In the square at the north end of Liberty Avenue, you can see the statue of the then Prime Minister Marquis de Pombal, who worked hard for the reconstruction work.",None Related,149
Parthenon,"Among the ancient buildings and commanding heights of the Acropolis, stands the majestic Parthenon. It is the main representative of architecture and sculpture in the heyday of Greece. It is known as the ""Greek National Treasure"" and is a world-famous cultural one of the heritage.",None Related,45
São Jorge Castle,"São Jorge Castle is one of the oldest buildings in Lisbon and is the main historical monument and tourist attraction in Lisbon. The castle was built on the high point of the Alfama region and was the fortress when the Moors occupied Lisbon in the Middle Ages. Because it is located on a commanding hillside, it can be seen from almost every corner of Lisbon. The castle originally belonged to the earlier Visigoths. After the Moors invaded, it underwent a large-scale expansion. The 8-meter-thick city wall still makes people feel extraordinary. Here one can better appreciate the city's architectural art, whether it's the futuristic castle and drawbridge from Alfama to the city in the distance, or the open-air ruins of the Carmo church in the city.",None Related,126
Fira,"Fira (also known as Thira), a small town built on the edge of a 400-meter-high volcano in the west of Santorini, has a spectacular view. The walls of the town houses are all white and the roofs are dark blue, which is in harmony with the sky, sea and ocean. Mixed into one, it is a postcard with a single shot. Fira is not only a traditional residential place, it is very prosperous. The town is convenient for taxis and there are many hotels. From here, there are direct buses to Oia town, black sand beach and red sand beach. It can be said to be the bus transfer station of Holy Island. Every peak season in July, August and September is basically crowded with tourists, many of whom are newly married couples who come here for their honeymoon. In the leisure time of a morning in the town, you can overlook the Aegean Sea, overlook the volcanic island on the opposite side, blow the sea breeze, sunbathe or walk around on the trails and take photos. In the evening, you can sit in the restaurant near the cliff and enjoy delicious food while watching the sunset. At night, it's even brighter. You can go to the bar to listen to music and relax with a glass of wine.",None Related,219
Monument to the Discoveries,"The Nautical Monument, also known as the Great Discovery Monument, has stood beside the Imperial Square since its inauguration in 1960. Its beautiful and upright posture and modern design have also made it one of the new landmarks of Lisbon. The monument was built to commemorate the 500th anniversary of the death of Don Alfonso Henry, the ""Prince of Navigation"". From a distance, the solid base of the monument seems to have a white stone sailboat riding the wind and waves on the sea, which is imaginative. In the details, the delicate stone carvings of the figures on its base are exquisite and can be described as masterpieces. The monument is engraved with statues of Henry, da Gama and 80 other sailors. On both sides are some navigators who accompanied them, as well as famous generals, missionaries and scientists in Portuguese history. Behind the monument is a large cross that symbolizes religious beliefs. . The monument is 52 meters high and has 7 floors inside. There are rooms with various functions. Visitors can not only watch Lisbon's nautical-related exhibits here, but also climb to a high place to overlook the surrounding squares and the harbour.",None Related,195
Oia,"At the top of the northern headland of Santorini is a small town called Oia, which is very large. Unlike the town of Fira, which has a slightly more commercial flavor, the main purpose of most tourists here is to enjoy the sunset here. It is said that ""the sunset falls into the Aegean Sea"" can be seen here. The sunset view of the small town of Oia has been used as a source of inspiration by many artists and photographers. White houses, blue-roofed churches, and traditional windmills are always intoxicating under the setting sun. Whenever the sun goes down, tourists will always flock here, find a good place to watch the sunset and sit quietly for an hour, watching the sun go down slowly and disappear into the horizon, leaving only a crimson on the sea. Afterglow, the whole world calms down. Tourists can't help clapping their hands and applauding, praising this beautiful sunset. There are two platforms on the west side of the town, one is a seaside platform similar to the beacon tower, and the other is a small square under the windmill. These two places are good places to watch the sunset. Of course, you can also choose a restaurant with a good view and enjoy the food while watching the sunset. But remember to arrive early, otherwise you won't be able to get a seat. A seafood feast with Santorini specialty wine, and the sunset is very romantic. After nightfall, the small town of Oia still has a restless heart. There are various bars and nightclubs here. If you don’t go to nightclubs, you can also choose to go shopping. The small shops between the narrow alleys of Qingshi are usually open until one or two in the morning, so it is still crowded with people late at night, and the lights inside and outside the store are bright. Due to the relatively long sunshine hours in summer in Greece, the sun will only go down at 7 or 8 o'clock every night, so you still have enough time to visit other scenery of the town during the day. You can go to the Blue Roof Church to see, maybe you will meet the newlyweds who are having a wedding. Take a walk along the footpath of the town and see the white and blue huts from afar, blending in with the sky and the sea, and you can take pictures here. In addition, if economic conditions permit, you can choose to stay here for one night, choose that kind of Villa, open the window and face the sea, so that you can feel the dream-like scenery, which is very romantic.",None Related,446
Alfama,"Alfama Old Town is an ancient area of Lisbon with many historical monuments. It is located on a small hill in the Tejo Bay. The hillsides here are undulating, there are countless winding stone steps and alleys, and the old houses have strong colored outer walls, exuding a retro charm everywhere. There are many grocery stores on both sides of the streets in the old city that maintain the same appearance as they used to be, full of food and daily necessities. There are many bars and cafés, and it is the ideal place for Lisbon's nightlife.",None Related,97
Acropolis of Athens,"• Explore one of the world's most important architectural heritage sites• Uncover the history as you walk amongst amazing ruins• See the imposing columns of the Parthenon – the most imitated building in the world
△ The Acropolis is located southwest of the center of Athens, perched on the top of the Acropolis hill more than 150 meters high. It is a landmark of the city and a symbol of ancient Greece. The Acropolis was built in 580 BC. Acropolis means ""high city-state"" in Greek. The east, south and north sides of the hill are cliffs, which can be said to be a natural barrier.
△ [Temple of Erechtheion] Legend has it that it was the place where Athena and Poseidon, the god of the sea, battled wits over being the protector of Athens. This temple is famous for its six caryatids on the south side.
△ On the top of the Acropolis, there are ruins and cliffs, and you can feel every trace of history.",None Related,166
Cape Roca,"Cape Roca is about 40 kilometers from Lisbon, located in the west of Sintra in the Lisbon district, and belongs to the Sintra-Cascais Natural Park. It is a narrow cliff about 140 meters above sea level at the western tip of Portugal, once considered the end of the world. Compared with other coasts, Cape Roca is indeed different. The steep cliffs are like lonely arms reaching out to the vast Atlantic Ocean. When you look down, you can see the vertical towering cliffs. Walking on them is like walking to the horizon. The sea and sky are the same color, and the scenery is magnificent It is wide open, and you can enjoy the beautiful sunrise and sunset views here. Guardrails are built around the cliffs to prevent accidents for visitors.",None Related,131
Santorini,"Santorini Island is located in the southern part of the Aegean Sea in Greece. It is picturesque and has a large number of classic blue and white buildings in the Aegean Sea. It is also known for its brightly colored beaches and pure and beautiful bays. It has become a honeymoon paradise and holiday destination that countless people dream of. It is also the place where the legendary ancient developed civilization Atlantis sank, full of mystery. The island of Santorini is crescent-shaped from north to south, and the eastern part of the gentle terrain is scattered with beaches; the hills in the middle are full of vineyards; the west side has a large area of cliffs, towering and connected, on which many cliffs are built. The hotel, sitting on a calm bay to enjoy a 360-degree beautiful sea view and watch the sunset, is very romantic. The main towns on the island are Fira and Oia. Although Santorini is not big, it is worth savoring and exploring. The public transportation system on the island is not very punctual, so it is a better choice to rent a car to travel around. If you find it too troublesome to drive by yourself, you can also take a cruise around the island organized by a local tour group. In addition, you can also participate in other projects such as sightseeing, hiking, and sea kayaking. Santorini Island is located in the small town of Fira above the cliff on the west side. There are many shops and restaurants among the narrow alleys here. It is a lively place on the island and a good place to watch the sea. Here you can experience the feeling of riding a small donkey, go to the winery on the island to taste a glass of mellow Greek wine, you can also enjoy the sea breeze on the black sand beach, red sand beach or Berisha beach of Kamari, enjoy the sun and feel the beach Colorful nightlife. The iconic blue-roofed church, once featured on the cover of National Geographic, is also on the trail leading to the town of Firostefani from Fira. The small town of Oia, a 20-minute drive from Fira, is another large town in Santorini. In addition to the blue-roofed church that can be seen everywhere, there is also a beautiful sunset here. You can see the Aegean Sea and the white towns with your own eyes. A moving picture under the sunset. Volcano sightseeing in Santorini is also one of the most popular tourist items. You can sign up for local tour groups in various towns here to go by boat. You can hike on Kameni Volcano or in the sulphur hot springs in the bay. Swimming, you can also take a small submarine to visit the deep water under the Thira crater, there are many special experiences. If you are particularly interested in the history and culture of ancient Greece, you can go to the ruins of Akrotiri and ancient Fira, which are the remnants of the legendary Atlantis, which should not be missed, but the mountain road is relatively rugged, so you must Wear appropriate shoes and clothing. Shopping in Santorini is also indispensable, with various handicraft stores and jewelry stores everywhere on the island. The island's landscape paintings, volcanic stone handicrafts, handmade gold jewelry, traditional costumes, and local specialties are also good choices.",None Related,564
Jerónimos Monastery,"The Jeronimos Monastery is located in the Belém district. This grand white building is a conspicuous landmark of the port city. Together with the church of the Knights of Santa Maria, it is called the culmination of the history of medieval architecture. In 1983, together with the nearby Tower of Belém, it was listed by UNESCO as a World Heritage Site, and the navigator da Gama is also buried here. Brilliant History The Jeronimos Monastery was built in 1501. King Manuel I presided over the construction in commemoration of Da Gama's significant voyage. It took nearly 100 years before and after. The door wall connecting the church and the monastery is more than 100 meters long, occupying almost the entire street. This majestic momentum also highlights the unrivaled maritime hegemony of Portugal in the past. There is not enough open space in front of the monastery. It is difficult to take a panoramic view, but you don't have to struggle. The exquisite carvings on the outer wall are enough to make people stop and taste for a long time. Being given life is generally lifelike. The south gate of the monastery is ornately decorated with exquisite carvings. The south gate is two stories high and there are many fine reliefs above. Among them, the emblem of Manuel I is engraved on the spandrel in the middle, and the relief above the arch depicts St. The scenes of Ronimo pulling the thorns for the lion and San Jeronimo in the desert are exquisitely sculpted. Although the main entrance is not as gorgeous as the south gate, it is also very unique. The scene of the birth of Jesus is carved above the arch. On both sides of the gate are Manuel I, the Virgin Mary, Saint Jerome, Saint John and other saints. statue. The nave of the monastery is spacious and holy. The Gothic hall has a high vaulted ceiling. The altar in the center of the hall is decorated with gold and green carvings, and the altar next to it has a statue of St. Jeronimo made of red-red glazed porcelain. The Church of the Knights of Santa Maria next to the monastery of the Knights of Santa Maria is also worth seeing. As soon as you enter the door, you can see the sarcophagus of Da Gama, and on the other side is buried the Portuguese poet Camos, whose The works represent the high achievement of Renaissance Portuguese literature. The chapel is very ornately decorated, and the huge transept roof in front of the altar, which is not supported by any pillars, can be described as an engineering miracle in the Middle Ages and was once regarded as a classic. There is a crucifix on the second floor. From the exquisite cloister, you can overlook the elegant view of the monastery courtyard. It is very Portuguese. You may stop here and watch it.",None Related,484
National Palace of Pena,"Pena Palace is the king's departure palace, its dazzling, peculiar, pretentious figure looks like a paradise castle. The palace itself is a hodgepodge of various architectural styles, including Gothic, Renaissance, Moorish, and Manueline (Manueline, the architectural style of the reign of King Nuel I of Portugal). The brainchild of Ferdinandofsaxe-Coburg-Gotha, husband of Queen Maria II. It is not only a national monument of Portugal, but also one of the seven wonders of Portugal. It is located on the top of a hill in the São Pedro de Penaferrim in Sintra, near Lisbon. It is clearly visible in the city of Lisbon in clear weather. In 1995, it was selected as a World Heritage Site as part of Sintra's Cultural Landscape. It is now frequently used for state activities by the President of Portugal and other government officials. In the Middle Ages, it was only a chapel of Our Lady. In 1493, Joao II and his wife came here for a pilgrimage. His successor, Manuel I, built the monastery. In 1755, the monastery was razed to the ground in the Lisbon earthquake. From 1842 to 1854, great efforts were spent to build the royal summer palace. The architect was Baron von Eschwege, a German, and was finally completed in 1885.",None Related,209
Belém Tower,"Belém Tower is a classic landmark building in the port of Portugal and a symbol of Lisbon. It has witnessed the voyages and departures, return and reunions of countless ships in Portugal in the era of great sailing. In 1983, the Belém Tower was officially rated as a world cultural heritage by UNESCO, and in 2007 it was named one of the Seven Wonders of Portugal. This fortification was ordered by Manuel I between 1514-1520 to commemorate Da Gama's arrival in India, and was later used as a customs house, a telegraph station, and even a lighthouse. The overall building of the Belém Tower is arranged in an ""L"" shape with five floors. The entire tower is made of white marble. It is a typical Manuel style building: the tower is surrounded by stone ropes, dotted with stone knots, Stone carvings of crosses and some flora and fauna. Among them, the stone rhinoceros at the base is quite eye-catching, built to demonstrate the achievements of Portuguese navigators in exploring overseas. When the sun goes down, the Belém Tower has a unique charm. It is also a pleasant enjoyment to take a walk in the harbor and blow the sea breeze. The barrier crossed the drawbridge, and the main entrance through which came to the Belem Tower barrier. There are a total of 16 artillery positions on the wall for placing cannons to defend against the enemy. In the center of the roof was a Gothic rectangular skylight, which was used as a vent for the ramparts, so that the smoke from the cannon fire could quickly dissipate. There are a number of storage rooms under the floor of the rampart, a large one can be reached from the stairs on the north side. Platform A steep staircase to the right of the main entrance to the Tower of Belém leads to a platform at the top of the rampart, which is polygonal in shape and has a sentry box at each corner with lookout windows and a pepper-box roof. In the center of the platform is a ring of balustrades surrounding the patio below, and on the south side of the balustrade is a statue of Our Lady of Victory. On the rampart platform, you can admire the south façade of the Tower of Belém up close. The balconies and railings are decorated with stone carvings, which are very beautiful. Among them, the stone carvings of the shield of King Manuel I are particularly eye-catching, and the top of the shield is decorated with flowers and plants. The stone carvings are embellished, lifelike. At the top of the tower, go up the stairs on the right side of the platform, and you can enter the interior of the tower of Belém. Follow the spiral staircase to the top platform of the tower, and you can see the beautiful scenery of the port of Lisbon: the Tagus River, the Geronimoche Monastery, the nautical monument, the big Jesus statue on the opposite bank, the April 25 Bridge, etc. From the bottom of the eye, the sailboats drifting by the sea from time to time are also a beautiful scenery. Belem tower top platform is very windy, please pay attention to wind protection and warmth.",None Related,542
Ibirapuera Park,"The park has pools of different sizes, sports fields, walking routes and various supporting cultural facilities. The well-known modern art galleries, Banderas monuments and monuments in Sao Paulo are also here. The open-air theater here also often puts on free programs, attracting many people to watch. 1. Park function In the middle of dense skyscrapers, the green park is almost another world. This is a place where local citizens get close to nature, and it is often crowded on weekends, with people running, cycling and skateboarding. In addition, the park also provides rental car cruise service, which is convenient for tourists to rent a car to explore the park. 2. Park tour Near the park, you can visit the Modern Art Museum and Banderas Memorial Statue together. The Banderas Monument is one of the well-known tourist attractions in Sao Paulo. The sculpture is carved from granite and built on a three-story granite base. In front of the statue are two galloping high-headed horses, and one of the riders holds his head high. The other looked back at the procession and seemed to command the people in a loud voice. Queen Ma is a pioneer of the prototype of St. Paul with various tools, old and young, male and female. In order to commemorate the development of Brazil and highlight the contributions of people of different countries and races to Brazil, the local department built a monument to Banderas in a corner of the park.",None Related,244
Floralis Genérica,"The Argentine steel flower symbol is the representative of a hundred flowers. Its Spanish can be written as FloralisGenerico. The flowers are 23 meters high and the flower diameter is 16 meters when closed and 32 meters when open. The flowers consist of 6 large petals and weigh 18 tons in total. The base of the flower is a pool with a diameter of 44 meters. The steel flower was built in the garden of the United Nations Square in Recoleta District, the first district of Argentina, adjacent to the Law School of the University of Buenos Aires. The flower is mainly cast in stainless steel and aluminum, and it opens and closes in the morning and evening by manual electric control. The flowers open at dawn every day of the year (except during storms) and close at dusk. However, there are 4 days when the flowers will not bloom: National Day on May 25, Spring Festival on September 21, Christmas Eve on December 24, and New Year on December 31.",None Related,171
Ipanema Beach,"Ipanema Beach is one of the two most well-known beaches in Rio de Janeiro. It is world-famous for being the birthplace of the Bossa Nova in the 1960s, and the song ""Girls of Ipanema"" (Garotade Ipanema) is also from here. birth. Copacabana and Ipanema are famous beaches in Rio. If you don't visit these two beaches in Rio, it is like ""you are not a hero if you don't go to the Great Wall"". You can see many people running, cycling, playing football, surfing and sunbathing here every day. If the weather is fine, watch the sunset on the reef Aropoador, east of Ipanema Beach and Copacobana Beach. The sunset sank magnificently in the deep sea, until a little glow was left, and the surroundings were dim, like a farewell.",None Related,130
Middle of the World City,"The Ecuadorian Equator Monument is divided into two, the old and the new. The old monument was completed in 1774. It is located in the town of San Antonio, where the longitude 78°27′8″ west and the latitude 0° intersect. It is 24 kilometers away from the capital Quito. The monument is about 10 meters high. The column is engraved with E.S.O.N. four Spanish letters representing east, west, south and north, to commemorate the French and Ecuadorian scientists who contributed to the measurement of the equator and the construction of the stele. The stele is engraved with ""Here is the center of the earth"" The top of the stele is an eye-catching large stone globe with a white center line symbolizing the equator, which is connected from top to bottom with the white lines on the steps on the east and west sides of the stele. This white line divides the earth into two parts, north and south. Every year on March 21 and September 23, the sun passes through the equator and directly hits the equator, and the global day and night are equal. At this time, the Ecuadorians will hold a grand event to welcome the sun god, thank the sun for bringing warmth to mankind Ecuadorians call this monument half the world. Tourists like to stand on the stone steps to take pictures, with their feet on both sides of the white line, to show that they are standing on the north and south hemispheres at the same time. Announced by the United Nations in 1978 It is a world cultural heritage. In 1981, the Ecuadorian government decided to build a new equatorial monument in the Equinocial Valley near the monument. The new monument was completed on August 9, 1982. Its appearance is basically the same as the old monument, but it is older than the old one. The monument is three times larger: 30 meters high, 4.5 meters in diameter, and 4.5 tons in weight. The things on the monument are inscribed: 78°27′8″ West Greenwich, 0°0′ latitude. An elevator was built in the monument, and a watchtower was installed on the top of the monument. In front of the monument, there is a long stone passage, and there are some stone sculpture groups on both sides of the passage. Anyone who travels to Quito can receive a certificate issued by the management department to prove that they have visited the dividing line between the northern and southern hemispheres on a certain day of a certain year. In addition, the Somali Equator Monument is located 60 kilometers north of Kismayo, a port city in southern Somalia. It is a 3-meter-tall concrete building with a globe and an east-west pointer at the top to mark the equator.",None Related,458
Monserrate,"Montserrat Mountain is located in Bogota, Colombia, where the scenery is beautiful. You can take the cable car up the mountain and enjoy the beautiful scenery of the mountains along the way. Standing on the top of the mountain, you can overlook the whole view of Bogota. There is a white church built in 1650 on the mountain, and there are some places to drink coffee, which is a good place for morning exercise and leisure. At night, you can have a bird's-eye view of the whole city at the top of the mountain, or have a dinner at the restaurant on the top of the mountain and enjoy the view while eating. You can take the cable car up the mountain, which runs every 15 minutes.",None Related,127
El Ateneo Grand Splendid,"The Athenian Bookstore is located in the downtown area of Buenos Aires. This bookstore is converted from an old theater and claims to be the second largest bookstore in the world. The bookstore’s predecessor, the Grand Theater of Light, was completed in 1919 and was once a landmark in Buenos Aires. The dome fresco was painted by Italian painter Sanarino Orlandi, and the theme is peace. The original boxes, sculptures, and the crimson curtain on the stage in the theater are well preserved, but the stage has become a place for readers to rest. You can go up to eat snacks or sit and read. The boxes are turned into ""mini"" reading rooms.",None Related,113
Tierra del Fuego National Park,"Tierra del Fuego National Park is a national park at the southern end of the world. It is full of nature. You can explore and visit the park. Along the way, there are beautiful mountains and rivers, full of vitality, and a variety of wild animals and birds. There is plenty of rain here, and in autumn the fallen leaves on the hillside are red. Snow mountains, lakes and virgin forests are its characteristics. Follow Route 3 to the Bishop Alamein Camping Station and take the small train to the National Park. The railway station has now been converted into a museum, where many historical photos are hung, and some objects and materials are also displayed in the showcase.",None Related,119
Iguaçu National Park,"Iguazu National Park is located in the basalt area and crosses the borders of Argentina and Brazil. It is an important biological forest park in South America, with a protected forest of 600,000 hectares, in addition to 400,000 hectares of virgin forest. Surrounded by subtropical rainforest with more than 200 kinds of vascular plants, many rare and endangered animal and plant species are protected in the park. Happy home for tigers and crocodiles. One of the most spectacular waterfalls in the world, Iguazu Falls, 80 meters high and 2700 meters long, is located in the center of this area. There are also various entertainment activities in the park. Visitors who like to be close to nature can choose to take a helicopter to overlook the entire park, or take a boat to swim on the Iguazu River, and even get close to the waterfall! 1. Take a helicopter to hover over the park and enjoy the magnificent view! Opening hours: 9:00-17:30 daily Route types: There are two routes to choose from, a 10-minute tour of the park and waterfalls, and a 35-minute tour of the park and its adjacent areas and borders. The panoramic view of the park by helicopter has always been one of the most popular projects in Iguazu National Park. Board the helicopter for a panoramic view of the entire park and waterfalls. 2. Visit the Iguazu River and get up close to the Great Falls! Opening hours: 9:30, 12:00 and 14:00 every day Estimated time: 4 hours Take a speedboat from the upper reaches of the Iguazu River, and enjoy small animals and aquatic plants along the way. There is a chance to watch the sunset on Cockatoo Island and thousands of parrots in the rapids. Visitors can choose to disembark at Bananeiras port, choose to walk or continue the boat to learn more about the species in the park. 3. Thrilling water safari, experience a full water tour! Opening hours: 9:00-17:30 every day, every 15 minutes, each boat carries 23-25 people. There are three parts to the process. First, tourists take the electric train to shuttle through the forest, and then there will be an explanation of the flora and fauna of the park. Afterwards, walk 600 meters to the waterfall, observing various wild animals and century-old trees along the way. Tourists can take a ""waterfall bath"" in an inflatable boat - the boat slowly approaches the waterfall, the water mist spreads out in front of the tourists, and the driver suddenly accelerates to make the boat go fast through the waterfall, and everyone will get wet, and the feeling is as if The soul is baptized. There are a lot of items to play. If you want to play all of them, it is impossible without two or three days.",None Related,466
Parque Nacional Los Glaciares,"Argentina Glacier National Park is located in southern Argentina, which is on the east side of the Patagonia Mountains in the southern part of the Andes that runs through the western South American continent, and belongs to the province of Santa Cruz, Argentina. The glacial lake where the Glacier Park is located is called Argentine Lake, and the lake covers an area of 1,414 square kilometers. The closest town is El Calafate, 30 kilometers away, and all travelers must first arrive in El Calafate before visiting Glacier National Park. Glacier National Park is a unique and beautiful area of natural beauty. There are rugged, towering mountains and many glacial lakes, including the hundred-mile-long Lake Argentina. At the confluence of the three glaciers at the far end of the lake, the milky-grey ice water poured down, and the huge drift ice like a small dome rushed into the lake with a thunderous roar. It is famous because it is one of the few glaciers in the world that is still ""alive"", where the spectacle of ice avalanches can be seen every day, and it was included in the World Natural Heritage in 1981. The ice avalanche of the Moreno Glacier in March 2012 attracted the attention of countries all over the world.",None Related,211
Perito Moreno Glacier,"The Moreno Glacier, located in the Argentine Glacier National Park in the province of Santa Cruz at the southern tip of Argentina, is one of the few living glaciers on Earth that is still advancing.",None Related,35
Amazon River,"What I have to introduce when I come to Brazil must be the Amazon River and Amazon jungle adventure. The Amazon River originates in the Peruvian Andes and flows into the Atlantic Ocean in the Amazon delta basin. The total length is about 6,992 kilometers. Because the measurement method of river length cannot be unified, it is still inconclusive as to who is the longest river in the world, the Amazon River and the Nile River. It has about 1,100 tributaries and flows through many countries including Peru, Bolivia, Colombia, Ecuador, Venezuela and Guyana, but 63% of the rivers are located in Brazil. Want to visit the Amazon rainforest, mostly from Manaus )Set off. From the pier here, you can immediately see the wonders of the two tributaries of the Amazon. What you must not miss when you come here are various colorful rainforest exploration activities and experience the original style, including visiting local tribes, watching toucans, watching macaws, watching sloths, watching water lilies, fishing for piranhas and bone tongue fish. And so on, you can also travel through the jungle, watch the sunrise on the Amazon River, visit Monkey Island, catch alligators, and get up close and personal with pink dolphins. Local travel agencies basically provide corresponding activities, and tourists can choose according to their personal preferences and travel plans. .",None Related,222
Casa Rosada,"Casa Rosada, also known as the Presidential Palace, is a Spanish-style rose-colored building located on the east side of Plaza de Mayo. In 1873, President Sarmiento painted the presidential palace pink, because red was the color of the Federalists at that time, and white was the color of its opposition. the unity of various political factions.",None Related,56
Santa Lucía Hill,"The mountain is 230 meters high and is a conical hill, and now it is a delicate and unique garden built on the mountain. At the entrance at the foot of the mountain, there is a dark red ancient Greek Athenian-style white cloud porch, and there are simple and vigorous giant murals on both sides of the porch. Nearby stands a statue of a hero of the Indian war against colonial rule. Circling up the curved stone steps, there are ancient churches built in 1874 and cacti in different shapes.",None Related,90
Plaza de Armas,"Lima's Plaza de Armas, also known as the central square, is the birthplace and core of Lima and also the spiritual and cultural center of Lima. palace. The older part is the bronze fountain in the center of the square, built in the 17th century. There is a Spanish colonial building on the square.",None Related,54
