Place,Details,Class,WordCount
Tirta Empul Temple,"['tirta', 'empul', 'temple', 'among', 'underground', 'springs', 'draws', 'name', 'temple', 'spring', 'pool', 'main', 'attraction', 'pool', 'fed', 'spring', 'outlets', 'pour', 'onto', 'base', 'fine', 'black', 'sand', 'even', 'thousands', 'years', 'pool', 'waters', 'remain', 'crystal', 'clear', 'reflecting', 'blue', 'sky', 'green', 'trees', 'create', 'breathtaking', 'scene', 'locals', 'come', 'ritual', 'ceremonies', 'visitors', 'partake', 'dunking', 'heads', 'spring', 'outlets', 'moving', 'left', 'right', 'around', 'pool']",None Related,91
Titan Pharmaceuticals,"['developing', 'proprietary', 'therapeutics', 'primarily', 'treatment', 'central', 'nervous', 'system', 'cns', 'disorders']",Biotechnology,13
Tokyo DisneySea,"['tokyo', 'disneysea', 'theme', 'park', 'inspired', 'various', 'stories', 'legends', 'related', 'ocean', 'seven', 'themed', 'harbors', 'park', 'experience', 'enjoy', 'variety', 'amusement', 'rides', 'entertainment', 'performances', 'full', 'adventure', 'creativity', 'river', 'delta', 'explore', 'mysterious', 'dangerous', 'temples', 'caribbean', 'coast', 'central', 'america', 'uncover', 'ancient', 'jungle', 'discovery', 'future', 'port', 'transcends', 'time', 'seaside', 'new', 'york', 'harbor', 'cape', 'cod', 'early', 'century', 'recreated', 'different', 'styles', 'nostalgic', 'coast', 'let', 'experience', 'world', 'arabian', 'nights', 'full', 'mystery', 'magic', 'lagoon', 'happy', 'underwater', 'kingdom', 'little', 'mermaid', 'island', 'secret', 'base', 'full', 'surprises', 'deep', 'active', 'volcano', 'door', 'adventure', 'hidden', 'inside', 'mysterious', 'genius', 'scientist', 'captain', 'nemo', 'harbor', 'romantic', 'ancient', 'southern', 'european', 'seaport', 'town', 'warm', 'rustic', 'restaurants', 'lined', 'rows', 'fishing', 'village', 'beautiful', 'picturesque', 'scenery', 'restaurants', 'shops', 'sides', 'canal', 'toy', 'story', 'crazy', 'playhouse', 'woody', 'big', 'mouth', 'entering', 'find', 'become', 'size', 'toy', 'get', 'andy', 'bed', 'challenge', 'toy', 'world', 'shooting', 'game', 'adventure', 'journey', 'center', 'earth', 'strange', 'inner', 'world', 'earth', 'discovered', 'genius', 'scientist', 'nimmo', 'tourists', 'embarked', 'adventure', 'trip', 'inner', 'earth', 'world', 'still', 'intoxicated', 'magic', 'nature', 'unexpectedly', 'encountered', 'volcanic', 'earthquake', 'geocentric', 'train', 'riding', 'would', 'lose', 'way', 'volcanic', 'eruption', 'undersea', 'cruise', 'yacht', 'ocean', 'world', 'nemo', 'friends', 'enter', 'vast', 'ocean', 'submarine', 'shrink', 'size', 'fish', 'look', 'underwater', 'world', 'perspective', 'nemo', 'wonderful', 'adventure', 'along', 'way', 'addition', 'familiar', 'disney', 'stars', 'nemo', 'dory', 'may', 'meet', 'popular', 'friends', 'hank', 'lucky', 'whale', 'shark', 'movie', 'finding', 'nemo', 'dory', 'horror', 'tower', 'building', 'new', 'york', 'city', 'called', 'hotel', 'terror', 'incident', 'boss', 'disappeared', 'thanks', 'efforts', 'new', 'york', 'city', 'conservation', 'association', 'everyone', 'finally', 'enter', 'hotel', 'visit', 'freely', 'visitors', 'elevator', 'roof', 'floor', 'hotel', 'unaware', 'experience', 'awaits', 'mermaid', 'lagoon', 'happy', 'underwater', 'kingdom', 'little', 'mermaid', 'friends']",None Related,454
Tokyo Disneyland,"['tokyo', 'disneyland', 'contains', 'seven', 'themed', 'areas', 'market', 'rows', 'buildings', 'sides', 'street', 'beautiful', 'elegant', 'america', 'early', 'century', 'welcome', 'warm', 'first', 'city', 'realize', 'human', 'dreams', 'experience', 'journey', 'universe', 'city', 'mickey', 'friends', 'live', 'extremely', 'happy', 'fairy', 'tale', 'kingdom', 'dreams', 'come', 'true', 'familiar', 'fairy', 'tale', 'world', 'protagonists', 'beauty', 'beast', 'snow', 'white', 'peter', 'pan', 'winnie', 'pooh', 'magical', 'world', 'red', 'clay', 'mountains', 'banks', 'american', 'river', 'surrounded', 'homes', 'small', 'animals', 'paradise', 'perfectly', 'recreate', 'pioneering', 'era', 'great', 'west', 'old', 'american', 'style', 'dreams', 'legends', 'pioneers', 'begin', 'park', 'world', 'adventure', 'romance', 'ferocious', 'beasts', 'depths', 'jungle', 'pirates', 'caribbean', 'dark', 'sea', 'waiting', 'meet', 'thrilling', 'way', 'new', 'area', 'theme', 'disney', 'movie', 'beauty', 'beast', 'born', 'dreamland', 'amusement', 'facility', 'beauty', 'beast', 'castle', 'adventure', 'visitors', 'fully', 'experience', 'charm', 'world', 'disney', 'movie', 'beauty', 'beast', 'style', 'castle', 'beast', 'lives', 'relive', 'romantic', 'moment', 'true', 'love', 'belle', 'beast', 'magic', 'teacup', 'swings', 'spins', 'classic', 'soundtrack', 'movie', 'popcorn', 'bucket', 'theme', 'movie', 'beauty', 'beast', 'lights', 'turned', 'stained', 'glass', 'mosaic', 'bloom', 'romantic', 'brilliance', 'giant', 'thunder', 'mountain', 'decades', 'passed', 'since', 'crazy', 'gold', 'rush', 'bustling', 'mines', 'long', 'deserted', 'old', 'unmanned', 'mining', 'cars', 'still', 'running', 'wildly', 'mountain', 'sitting', 'old', 'mine', 'car', 'passing', 'towering', 'rocks', 'car', 'body', 'tilts', 'left', 'right', 'roars', 'every', 'thrill', 'make', 'scream', 'loudly', 'dumbo', 'dumbo', 'popular', 'circus', 'today', 'high', 'sky', 'fly', 'freely', 'ground', 'handler', 'timothy', 'dumbo', 'good', 'friend', 'welcome', 'enjoy', 'pleasant', 'air', 'journey', 'splash', 'mountain', 'embark', 'pleasant', 'adventure', 'log', 'raft', 'waterfall', 'height', 'meters', 'suddenly', 'appeared', 'front', 'raft', 'dives', 'waterfall', 'inclination', 'angle', 'degrees', 'come', 'splash', 'mountain', 'snapshot', 'store', 'purchase', 'photos', 'taken', 'instantly', 'welcome', 'minnie', 'studio', 'visit', 'office', 'workshop', 'fashion', 'designer', 'minnie', 'first', 'photo', 'minnie', 'fashionable', 'clothes']",None Related,479
Tokyo National Museum,"['inside', 'ueno', 'park', 'tokyo', 'national', 'museum', 'oldest', 'japanese', 'national', 'museum', 'largest', 'art', 'museum', 'japan', 'largest', 'art', 'museums', 'world', 'tokyo', 'national', 'museum', 'holds', 'objects', 'including', 'comprehensive', 'collection', 'art', 'works', 'archaeological', 'objects', 'asia', 'particular', 'focus', 'japan', 'restaurants', 'shops', 'within', 'museum', 'premises', 'well', 'outdoor', 'exhibitions', 'garden', 'visitors', 'enjoy', 'seasonal', 'views']",None Related,78
Tokyo Skytree,"['tallest', 'building', 'cityscape', 'panoramic', 'views', 'like', 'amazing', 'feeling', 'reaching', 'summit', 'walking', 'galleria', 'tokyo', 'clear', 'sky', 'tower', 'known', 'tokyo', 'sky', 'tree', 'stands', 'meters', 'tall', 'second', 'dubai', 'tower', 'new', 'landmark', 'tokyo', 'clear', 'sky', 'tower', 'equipped', 'observation', 'platforms', 'meters', 'climbing', 'tower', 'allows', 'panoramic', 'view', 'tokyo', 'high', 'altitude', 'well', 'dining', 'restaurants', 'cafes', 'within', 'tower', 'recent', 'years', 'image', 'qingkong', 'tower', 'appeared', 'multiple', 'times', 'japanese', 'dramas', 'anime', 'works', 'popularity', 'steadily', 'increasing', 'tower', 'body', 'adopts', 'traditional', 'japanese', 'blue', 'white', 'color', 'scheme', 'slightly', 'cyan', 'white', 'color', 'resembling', 'white', 'porcelain', 'looks', 'soft', 'galleria', 'walk', 'sloped', 'galleria', 'floor', 'floor', 'experience', 'amazing', 'feeling', 'reaching', 'summit', 'walking', 'two', 'feet', 'addition', 'climbing', 'tower', 'sightseeing', 'comprehensive', 'leisure', 'entertainment', 'area', 'skytree', 'town', 'clear', 'sky', 'tower', 'sumida', 'aquarium']",None Related,203
Tokyo Tower,"['tokyo', 'tower', 'communications', 'observation', 'tower', 'city', 'minato', 'ward', 'frequently', 'appearing', 'film', 'television', 'icon', 'tokyo', 'skyline', 'two', 'observation', 'decks', 'afford', 'visitors', 'chance', 'snap', 'breathtaking', 'pictures', 'tower', 'lower', 'levels', 'host', 'number', 'restaurants', 'shops', 'museums', 'completed', 'tokyo', 'tower', 'lattice', 'design', 'closely', 'inspired', 'eiffel', 'tower', 'paris', 'lit', 'dark', 'tokyo', 'tower', 'makes', 'impressive', 'background', 'photo', 'main', 'deck', 'get', 'sense', 'tokyo', 'cityscape', 'three', 'plus', 'top', 'deck', 'perfect', 'view', 'whole', 'tokyo']",None Related,116
Torres del Paine National Park,"['torres', 'del', 'paine', 'national', 'park', 'southern', 'chile', 'selected', 'national', 'geographic', 'places', 'lifetime', 'famous', 'beautiful', 'lakes', 'numerous', 'glaciers', 'soaring', 'granite', 'peaks', 'park', 'translated', 'qingta', 'national', 'park', 'word', 'paine', 'comes', 'indian', 'word', 'blue', 'named', 'entire', 'national', 'park', 'surrounded', 'blue', 'glacial', 'fjords', 'lake', 'landscapes', 'main', 'attractions', 'park', 'include', 'torre', 'tower', 'cape', 'torre', 'nordenskjöld', 'glacier', 'lake', 'well', 'lagogrey', 'glaciergrey', 'icebergs', 'torres', 'del', 'paine', 'national', 'park', 'transition', 'zone', 'magellan', 'forest', 'patagonian', 'steppe', 'biodiversity', 'level', 'high', 'park', 'home', 'two', 'hundred', 'species', 'plants', 'consists', 'four', 'vegetation', 'zones', 'patagonian', 'steppe', 'scrubland', 'magellanic', 'subterranean', 'forest', 'andean', 'desert', 'addition', 'park', 'known', 'protection', 'wild', 'animal', 'species', 'home', 'rare', 'species', 'scorpions', 'cougars', 'red', 'foxes']",None Related,183
Trivena Inc,"['involved', 'discovery', 'development', 'coupled', 'receptors', 'gpcr', 'biased', 'ligands', 'trevena', 'approach', 'drug', 'discovery', 'based', 'utilizing', 'ligand', 'bias', 'functional', 'selectivity', 'gpcr', 'targets', 'produce', 'drugs', 'improved', 'efficacy', 'reduced', 'side', 'effect', 'profiles']",Biotechnology,41
Trocadéro Square,"['paris', 'abounds', 'sites', 'combine', 'grandiose', 'iconic', 'beauty', 'historic', 'significance', 'palais', 'de', 'chaillot', 'prime', 'example', 'exposition', 'internationale', 'hosted', 'city', 'site', 'previous', 'palais', 'de', 'trocadéro', 'palais', 'de', 'chaillot', 'overlooks', 'stunning', 'esplanade', 'des', 'droits', 'de', 'magnificently', 'frame', 'eiffel', 'tower', 'esplanade', 'given', 'name', 'palace', 'location', 'signing', 'united', 'nation', 'universal', 'declaration', 'human', 'rights', 'palais', 'boasts', 'four', 'museums', 'well', 'national', 'theaters', 'paris']",None Related,100
Tsutenkaku,"['shinsekai', 'district', 'osaka', 'patterned', 'eiffel', 'tower', 'tsutenkaku', 'become', 'iconic', 'landmark', 'building', 'osaka', 'night', 'tower', 'lit', 'colorful', 'lights', 'attractive', 'sight', 'southern', 'city', 'japan', 'visitors', 'observation', 'deck', 'enjoy', 'beautiful', 'views', 'streets', 'taking', 'bustling', 'city', 'different', 'perspective']",None Related,65
Tuileries Garden,"['tuileries', 'garden', 'along', 'seine', 'river', 'adjacent', 'louvre', 'museum', 'east', 'place', 'de', 'la', 'concorde', 'west', 'beautiful', 'statues', 'seen', 'everywhere', 'woods', 'garden', 'along', 'avenues', 'hands', 'french', 'sculptors', 'known', 'museums', 'historical', 'changes', 'french', 'queen', 'catherine', 'medici', 'tuileries', 'palace', 'courtyard', 'later', 'le', 'notte', 'garden', 'designer', 'versailles', 'garden', 'courtyard', 'changed', 'rectangular', 'garden', 'tuileries', 'palace', 'razed', 'ground', 'french', 'revolution', 'tuileries', 'gardens', 'survived', 'enjoy', 'statue', 'tuileries', 'garden', 'adopts', 'symmetrical', 'layout', 'arc', 'de', 'triomphe', 'runs', 'landscape', 'design', 'garden', 'simple', 'refreshing', 'patterned', 'green', 'space', 'laid', 'ground', 'like', 'woven', 'carpet', 'solemn', 'yet', 'lively', 'elegant', 'paths', 'inlaid', 'around', 'green', 'space', 'fountain', 'carefully', 'appreciate', 'exquisite', 'statues', 'garden', 'famous', 'masters', 'among', 'kiss', 'lebaiser', 'eve', 'eve', 'la', 'grande', 'ombre', 'la', 'grande', 'ombre', 'meditation', 'rodin', 'father', 'french', 'modernist', 'sculpture', 'meditationavecbras', 'bronze', 'replicas', 'four', 'works', 'exhibited', 'tuileries', 'garden', 'famous', 'french', 'sculptor', 'aimee', 'miller', 'cassandresemetsouslaprotectiondepallas', 'cassandresemetsouslaprotectiondepallas', 'although', 'replicas', 'well', 'worth', 'look', 'indulge', 'french', 'relaxation', 'forget', 'sit', 'octagonal', 'pond', 'middle', 'tuileries', 'gardens', 'fountains', 'wild', 'ducks', 'playing', 'pool', 'chairs', 'pool', 'moved', 'visitors', 'rest', 'around', 'pond', 'sculptures', 'themed', 'ancient', 'myths', 'fables', 'might', 'well', 'sit', 'lazy', 'chair', 'bask', 'sun', 'feed', 'pigeons', 'experience', 'leisurely', 'tranquil', 'life', 'french', 'pleasures', 'visiting', 'tuileries', 'garden', 'traveling', 'children', 'go', 'small', 'playground', 'tuileries', 'garden', 'ferris', 'wheel', 'garden', 'conspicuous', 'must', 'miss', 'unlike', 'clean', 'leisurely', 'places', 'parts', 'garden', 'playground', 'full', 'vitality', 'children', 'fun', 'joy', 'photography', 'tips', 'walking', 'arc', 'de', 'triomphe', 'boulevard', 'tuileries', 'garden', 'looking', 'east', 'photograph', 'small', 'arc', 'de', 'triomphe', 'louvre', 'different', 'angle', 'gate', 'west', 'garden', 'next', 'place', 'de', 'la', 'concorde', 'good', 'place', 'photography', 'large', 'pond', 'diameter', 'meters', 'viewing', 'platform', 'sides', 'gate', 'standing', 'overlook', 'beautiful', 'scenery', 'tuileries', 'garden', 'tuileries', 'garden', 'good', 'place', 'rest', 'surrounding', 'attractions', 'concentrated', 'addition', 'ones', 'mentioned', 'orangerie', 'art', 'museum', 'national', 'tennis', 'court', 'modern', 'art', 'museum', 'southwest', 'corner', 'northwest', 'corner', 'garden', 'respectively', 'relax', 'garden', 'visit', 'stalls', 'selling', 'ice', 'cream', 'hot', 'dogs', 'small', 'food', 'garden', 'prices', 'cheap', 'satisfy', 'hunger']",None Related,567
Tulamben,"['tulamben', 'sandy', 'beaches', 'bays', 'paradise', 'divers', 'water', 'gentle', 'water', 'clear', 'visibility', 'high', 'making', 'ideal', 'deep', 'diving', 'want', 'dive', 'even', 'need', 'go', 'sea', 'dive', 'right', 'shore', 'addition', 'used', 'sinking', 'point', 'warships', 'libertywreck', 'wreck', 'navy', 'world', 'war', 'ii', 'buckled', 'seabed', 'inverted', 'trapezoid', 'shape', 'meters', 'long', 'meters', 'high', 'cannons', 'warehouses', 'rudders', 'time', 'well', 'preserved', 'today', 'wreck', 'meters', 'away', 'shore', 'shallower', 'stern', 'part', 'meters', 'deep', 'means', 'go', 'sea', 'boat', 'magnificent', 'sight', 'dive', 'site', 'introduction', 'dropoff', 'next', 'prominent', 'reefs', 'coast', 'palungpalung', 'boat', 'around', 'back', 'raised', 'reef', 'pygmy', 'seahorses', 'pairs', 'red', 'gobby', 'lot', 'jawfish', 'hiding', 'hole', 'cleaningstation', 'two', 'cleaning', 'stations', 'sand', 'meters', 'deep', 'coral', 'garden', 'meters', 'cleaning', 'shrimps', 'seraya', 'harley', 'shrimp', 'ho', 'rainboweel', 'kubu', 'opposite', 'seraya', 'another', 'village', 'within', 'minutes', 'drive', 'away', 'staghorn', 'corals', 'underwater']",None Related,258
"Tun Sakaran Marine Park, Semporna, Sabah.","['tun', 'sakaran', 'marine', 'park', 'offshore', 'waters', 'east', 'side', 'sabah', 'northeast', 'semporna', 'airport', 'marine', 'park', 'composed', 'small', 'islands', 'marine', 'park', 'sabah', 'largest', 'coral', 'colony', 'malaysia', 'covering', 'area', 'square', 'kilometers', 'come', 'enjoy', 'scenery', 'diving', 'activities', 'quite', 'interesting']",None Related,80
Turtle Island,"['turtle', 'island', 'opposite', 'side', 'bali', 'south', 'bay', 'much', 'like', 'small', 'zoo', 'hosting', 'turtle', 'conservation', 'education', 'center', 'including', 'wild', 'turtles', 'lizards', 'bats', 'giant', 'clams', 'animals', 'moreover', 'important', 'breeding', 'ground', 'green', 'turtles', 'well', 'toads', 'lay', 'hatch', 'eggs', 'southeast', 'asia']",None Related,60
Ubud,"['ubud', 'cultural', 'creative', 'center', 'bali', 'art', 'village', 'powerful', 'creative', 'spirit', 'village', 'awash', 'artistic', 'forms', 'painting', 'sculpting', 'music', 'textiles', 'architecture', 'craft', 'shops', 'museums', 'line', 'streets', 'artists', 'world', 'come', 'find', 'inspiration', 'locations', 'featured', 'film', 'eat', 'pray', 'love', 'addition', 'visiting', 'variety', 'artisan', 'shops', 'visit', 'magnificent', 'ubud', 'palace', 'enjoy', 'traditional', 'dance', 'performances', 'local', 'specialties']",None Related,91
Ubud Palace,"['ubud', 'palace', 'ubud', 'artistic', 'town', 'building', 'majestic', 'adorned', 'intricate', 'stone', 'carvings', 'gold', 'decorations', 'makes', 'whole', 'palace', 'look', 'magnificent', 'stately', 'ubud', 'palace', 'experience', 'traditional', 'art', 'culture', 'bali', 'evening', 'balinese', 'dance', 'performances', 'courtyard', 'addition', 'ubud', 'market', 'easily', 'reachable', 'visiting', 'palace', 'buy', 'variety', 'buddha', 'statues', 'silverware', 'special', 'costumes']",None Related,80
Ueno Toshogu Shrine,"['ueno', 'prominent', 'shinto', 'shrine', 'tokyo', 'taito', 'ward', 'first', 'established', 'later', 'renovated', 'shrine', 'remained', 'mostly', 'intact', 'since', 'making', 'great', 'example', 'shinto', 'architecture', 'edo', 'period', 'shrine', 'utilizes', 'ornate', 'gold', 'decorative', 'wood', 'carving', 'characterizing', 'traditional', 'japanese', 'design', 'major', 'gates', 'pillars', 'halls', 'quite', 'provide', 'excellent', 'backdrops', 'photographs', 'shrine', 'complex', 'within', 'ueno', 'park', 'great', 'combine', 'visits', 'nearby', 'akihabara', 'asakusa']",None Related,91
Ueno-Koen,"['uneo', 'park', 'spacious', 'public', 'park', 'tokyo', 'taito', 'ward', 'first', 'established', 'uneo', 'park', 'draws', 'influence', 'western', 'parks', 'popular', 'time', 'today', 'visitors', 'free', 'wander', 'paths', 'open', 'spaces', 'estimated', 'tree', 'species', 'park', 'small', 'bodies', 'water', 'attract', 'wide', 'variety', 'birds', 'number', 'museums', 'within', 'uneo', 'park', 'including', 'tokyo', 'national', 'museum', 'national', 'museum', 'nature', 'science', 'uneo', 'park', 'famous', 'attraction', 'however', 'spring', 'cherry', 'blossom', 'festival', 'flock', 'admire', 'natural', 'beauty', 'offer', 'truly', 'something', 'behold']",None Related,112
UiPath,"['uipath', 'robotic', 'process', 'automation', 'software', 'instills', 'ai', 'robots', 'help', 'perform', 'repetitive', 'tasks', 'efficiently', 'learn', 'go', 'unicorn', 'ai', 'robot', 'software', 'helping', 'robots', 'retail', 'manufacturing', 'speed', 'tasks', 'environment', 'longer', 'supervised', 'humans']",Robotic,52
Ujikami Shrine,"['ujigami', 'shrine', 'north', 'side', 'uji', 'shrine', 'ancient', 'shrine', 'japan', 'according', 'research', 'founded', 'heian', 'period', 'main', 'hall', 'shrine', 'listed', 'national', 'treasure', 'japan', 'spring', 'ujigami', 'shrine', 'called', 'kirihara', 'water', 'seven', 'famous', 'waters', 'uji', 'ancient', 'times', 'existing', 'ancient', 'famous', 'spring', 'worship', 'hall', 'kamakura', 'period', 'shrine', 'important', 'cultural', 'relic', 'japan']",None Related,94
Ultragenyx,"['involved', 'research', 'development', 'novel', 'products', 'treatment', 'rare', 'genetic', 'diseases', 'typically', 'approved', 'treatments', 'high', 'unmet', 'medical', 'need', 'company', 'works', 'multiple', 'drug', 'modalities', 'including', 'biologics', 'small', 'molecule', 'gene', 'therapies', 'aso', 'mrnas', 'disease', 'categories', 'bone', 'endocrine', 'metabolic', 'muscle', 'cns', 'diseases']",Biotechnology,59
Ulun Danu Beratan Temple,"['temple', 'shores', 'pristine', 'crater', 'lake', 'acts', 'vehicle', 'offerings', 'water', 'lake', 'river', 'goddess', 'danu', 'balinese', 'tradition', 'king', 'mengwi', 'commissioned', 'temple', 'still', 'stands', 'beautifully', 'ever', 'adjacent', 'lake', 'holy', 'mountain', 'tours', 'available', 'speed', 'boat', 'trips', 'around', 'lake', 'temple', 'popular', 'option']",None Related,71
Uluwatu Temple,"['uluwatu', 'temple', 'location', 'along', 'uluwatu', 'cliffs', 'great', 'location', 'view', 'surrounding', 'landscape', 'seaside', 'known', 'lover', 'cliffs', 'uluwatu', 'cliffs', 'set', 'beside', 'surf', 'spot', 'small', 'forested', 'areas', 'front', 'temple', 'home', 'hundreds', 'wild', 'monkeys', 'evening', 'watch', 'traditional', 'kecak', 'dance', 'performances', 'ambiance', 'uluwatu', 'temple', 'surrounding', 'cliffs', 'performance', 'provides', 'magical', 'almost', 'otherworldly', 'experience']",None Related,81
Uluwatu Temple,"['uluwatu', 'temple', 'location', 'along', 'uluwatu', 'cliffs', 'great', 'location', 'view', 'surrounding', 'landscape', 'seaside', 'known', 'lover', 'cliffs', 'uluwatu', 'cliffs', 'set', 'beside', 'surf', 'spot', 'small', 'forested', 'areas', 'front', 'temple', 'home', 'hundreds', 'wild', 'monkeys', 'evening', 'watch', 'traditional', 'kecak', 'dance', 'performances', 'ambiance', 'uluwatu', 'temple', 'surrounding', 'cliffs', 'performance', 'provides', 'magical', 'almost', 'otherworldly', 'experience']",None Related,81
Umeda Sky Building,"['unfind', 'sky', 'building', 'connected', 'kuchu', 'teien', 'observatory', 'osaka', 'cityscape', 'bird', 'view', 'open', 'air', 'rooftop', 'umeda', 'sky', 'building', 'umeda', 'district', 'north', 'osaka', 'rather', 'uniquely', 'designed', 'building', 'consists', 'two', 'towers', 'connected', 'rooftop', 'observatory', 'deck', 'visitors', 'view', 'dazzling', 'streets', 'building', 'become', 'landmark', 'osaka', 'visitors', 'coming', 'escape', 'hustle', 'bustle', 'city', 'space', 'filled', 'excitement', 'way', 'sky', 'open', 'air', 'rooftop', 'observation', 'floor', 'changing', 'views', 'time', 'stand', 'sky', 'garden', 'observation', 'deck', 'enjoy', 'dynamic', 'night', 'view', 'osaka', 'city']",None Related,134
Underwater World Langkawi,"['explore', 'underwater', 'corridor', 'composed', 'liters', 'seawater', 'observe', 'sharks', 'stingrays', 'groupers', 'green', 'sea', 'turtles', 'witness', 'underwater', 'tunnel', 'spectacular', 'penguin', 'pavilion', 'watch', 'penguins', 'cute', 'swimming', 'species', 'fish', 'marine', 'life', 'including', 'species', 'southern', 'rockhopper', 'penguins', 'penguins', 'seals', 'near', 'cenang', 'beach', 'visit', 'famous', 'aquarium', 'langkawi', 'go', 'tunnel', 'watch', 'cute', 'penguins', 'swimming', 'head', 'walk', 'underwater', 'tunnel', 'admire', 'variety', 'marine', 'life']",None Related,102
Universal Robots,"['company', 'industrial', 'robots', 'used', 'automotive', 'companies', 'like', 'continental', 'changeover', 'time', 'moving', 'components', 'station', 'next', 'reduced', 'percent', 'ford', 'universal', 'robots', 'work', 'romanian', 'assembly', 'line', 'greasing', 'camshafts', 'filling', 'engines', 'oil']",Robotic,49
Universal Studios Japan,"['amusement', 'rides', 'themed', 'hollywood', 'super', 'blockbuster', 'movies', 'usj', 'performances', 'popular', 'cartoon', 'characters', 'etc', 'usj', 'good', 'entertaining', 'place', 'go', 'everyone', 'children', 'adults', 'world', 'first', 'nintendo', 'theme', 'park', 'immerse', 'world', 'super', 'mario', 'parades', 'float', 'tours', 'everyone', 'protagonist', 'traveling', 'enthusiastically', 'burning', 'passion', 'together', 'universal', 'studios', 'japan', 'usj', 'osaka', 'five', 'universal', 'studios', 'theme', 'parks', 'world', 'opened', 'classic', 'beautiful', 'world', 'joy', 'tourists', 'similar', 'design', 'universal', 'studios', 'orlando', 'usa', 'popular', 'parks', 'jurassic', 'park', 'jaws', 'attractions', 'keep', 'entertained', 'wandering', 'throughout', 'day', 'usj', 'equipped', 'popular', 'theme', 'ip', 'parks', 'super', 'nintendo', 'mario', 'minions', 'wizarding', 'world', 'harry', 'potter', 'whether', 'getting', 'fun', 'interactions', 'minions', 'riding', 'mario', 'kart', 'adventure', 'traveling', 'magical', 'world', 'hogwarts', 'going', 'wonderful', 'unforgettable', 'experience', 'nintendo', 'park', 'world', 'first', 'nintendo', 'theme', 'park', 'nintendo', 'usj', 'features', 'super', 'mario', 'protagonist', 'combines', 'bowser', 'castle', 'princess', 'peach', 'castle', 'mushroom', 'kingdom', 'game', 'come', 'get', 'immersive', 'experience', 'world', 'super', 'mario', 'naughty', 'farce', 'ride', 'frozen', 'laser', 'ride', 'involve', 'minions', 'huge', 'farce', 'large', 'number', 'little', 'minions', 'wreaking', 'havoc', 'causing', 'trouble', 'streets', 'corners', 'joyful', 'noisy', 'little', 'minions', 'paradise', 'every', 'visitor', 'involved', 'naughty', 'farce', 'welcome', 'majestic', 'spectacular', 'park', 'wizarding', 'world', 'harry', 'truly', 'recreates', 'world', 'harry', 'stories', 'overwhelming', 'scale', 'meticulous', 'pursuit', 'every', 'detail', 'towering', 'castle', 'front', 'vast', 'wizards', 'live', 'well', 'rides', 'various', 'shops', 'step', 'world', 'movie', 'everything', 'seems', 'happening', 'eyes']",None Related,369
Ursa Major,"['focuses', 'development', 'aerospace', 'engines', 'reduce', 'timelines', 'add', 'reliability', 'vehicles', 'entering', 'orbit', 'engines', 'available', 'company', 'utilize', 'multiple', 'fuel', 'types', 'advanced', 'propulsion', 'across', 'use', 'cases', 'available', 'several', 'price', 'points', 'varied', 'innovation']",Aerospace,45
Uyuni Salt Flat,"['salar', 'de', 'uyuni', 'known', 'salar', 'de', 'uyuni', 'bolivian', 'plateau', 'altitude', 'meters', 'sea', 'level', 'nearby', 'town', 'uyuni', 'distribution', 'center', 'tourists', 'salt', 'lake', 'stay', 'replenish', 'dry', 'food', 'water', 'december', 'march', 'following', 'year', 'local', 'rainy', 'season', 'water', 'dry', 'hard', 'ground', 'time', 'beautiful', 'scenery', 'lake', 'reflecting', 'sky', 'like', 'twins', 'want', 'mirror', 'sky', 'need', 'meet', 'conditions', 'standing', 'water', 'surface', 'shiobara', 'wind', 'sunny', 'days', 'clouds', 'better', 'time', 'easily', 'pictures', 'scenery', 'whether', 'use', 'camera', 'mobile', 'phone', 'miss', 'going', 'uyuni', 'rainy', 'season', 'disappointed', 'another', 'feeling', 'appreciate', 'hexagonal', 'lattices', 'dried', 'pieces', 'long', 'time', 'exposure', 'salt', 'marshes']",None Related,184
Valley of the Kings,"['valley', 'kings', 'west', 'bank', 'nile', 'kilometers', 'shore', 'reached', 'steep', 'mountain', 'road', 'northern', 'end', 'acropolis', 'thebes', 'total', 'imperial', 'tombs', 'burying', 'pharaohs', 'dynasty', 'dynasty']",None Related,57
Van Gogh Cafe (Cafe La Nuit),"['van', 'gogh', 'created', 'lot', 'works', 'closely', 'related', 'small', 'town', 'years', 'lived', 'arles', 'buildings', 'become', 'attractions', 'commemorate', 'painter', 'van', 'gogh', 'cafe', 'location', 'van', 'gogh', 'famous', 'painting', 'cafe', 'night', 'filmed', 'still', 'retains', 'exact', 'appearance', 'painting', 'back', 'although', 'still', 'cafe', 'attraction', 'consumption', 'low', 'want', 'drink', 'cup', 'coffee', 'still', 'sufficient', 'budget', 'prepare']",None Related,105
Varian Medical Systems,"['manufacturer', 'medical', 'devices', 'software', 'treating', 'cancer', 'medical', 'conditions']",Biotechnology,13
Vast,"['aerospace', 'startup', 'vast', 'ambitions', 'create', 'livable', 'areas', 'space', 'better', 'preserve', 'earth', 'biosphere', 'company', 'work', 'developing', 'infrastructure', 'expand', 'across', 'entire', 'solar', 'system', 'artificial', 'gravity', 'eliminates', 'bone', 'deterioration', 'vast', 'working', 'environments', 'want', 'remain', 'weightless', 'completing', 'daily', 'tasks']",Aerospace,62
