,Place,Details,Class,Cleaned_Details
931,Sorrento Italy,"A town in southern Italy, located on the north coast of the Sorrento Peninsula, this is what the author longed for in the return of Italian famous songs to Sorrento. Sorrento is close to the Bay of Naples, 27 kilometers away from Naples in the north. The city is built on the cliffs of the seaside, surrounded by trees such as oranges, lemons and olives, and the scenery is very beautiful. Sorrento mainly produces wine and olive oil. The fishing industry is also very developed. It is famous for handicrafts such as wood inlay and lace. The streets in the city are neat and tidy, with lush flowers and trees. It also has a 14th-century monastery and a collection of medieval sculptures and paintings. There is a winding bay on one side and a blue sea on the other side, overlooking Mount Vesuvius and the beautiful island of Capri, surrounded by citrus forests, which is an excellent place for vacation and leisure.",None Related,town southern italy located north coast sorrento peninsula author longed return italian famous songs sorrento sorrento close bay naples 27 kilometers away naples north city built cliffs seaside surrounded trees oranges lemons olives scenery beautiful sorrento mainly produces wine olive oil fishing industry also developed famous handicrafts wood inlay lace streets city neat tidy lush flowers trees also monastery collection medieval sculptures paintings winding bay one side blue sea side overlooking mount vesuvius beautiful island capri surrounded citrus forests excellent place vacation leisure
932,SpIntellx,SpIntellx is a computational and systems pathology company applying proprietary AI technologies to analyze whole slide images based on spatial analytics. SpIntellx is developing tools that will improve the accuracy and efficiency of pathologists and to generate predictive data to optimize patient outcomes,bioinformatic,spintellx computational systems pathology company applying proprietary ai technologies analyze whole slide images based spatial analytics spintellx developing tools improve accuracy efficiency pathologists generate predictive data optimize patient outcomes
933,SpaceX,"SpaceX is a focal point of innovation when it comes to aerospace research, development and deployment, launching several spacecraft into orbit and continuing to push the boundaries of exploration. The company’s Dragon spacecraft is among the few vehicles to deliver and return cargo to the ISS and is capable of transporting up to seven passengers in and out of orbit at once, demonstrating significant progress in the race for private passenger space travel",aerospace,spacex focal point innovation comes aerospace research development deployment launching several spacecraft orbit continuing push boundaries exploration company dragon spacecraft among vehicles deliver return cargo iss capable transporting seven passengers orbit demonstrating significant progress race private passenger space travel
934,Spanish Steps,"The Spanish Steps is located on the Plaza de España, where the hero and heroine of the movie ""Roman Holiday"" enjoy ice cream sweetly, and it has become one of the must-see attractions for tourists from all over the world. There are many portraits and stalls selling flowers on the steps, so you might as well sit on the steps and enjoy the leisurely atmosphere. Architectural style The Spanish Steps was built in 1723. It is a Baroque-style building funded by the French and designed and constructed by the Italians. The large steps are made of travertine stone and consist of 3 large platforms divided into 3 layers. The steps are divided into 12 sections with a total of 137 stone steps. The arc-shaped steps on both sides connect the platforms. The plane of the steps is like a vase, forming a moving The curve, the change of the width of the steps, the matching of steps, and walking on it make people feel the rhythm of relaxation and relaxation. Before the completion of the large steps, the church in the east and the plaza in the past and the west were in a disordered state. The large curvilinear steps organically unified the squares and streets with different elevations and different axes, forming a harmonious whole. . On the large steps around the steps, a 16th-century twin-tower church overlooks the square; in front of the steps, there is a ""boat fountain"", which spreads coolness to the square with little drops of water. This is the work of Bernini's father, only a passionate and romantic Italian design Teachers can be so imaginative and creative. The Spanish Steps reflects the advantages of the free and flexible style of Baroque architecture in the overall layout of the city.",None Related,spanish steps located plaza de españa hero heroine movie roman holiday enjoy ice cream sweetly become one attractions tourists world many portraits stalls selling flowers steps might well sit steps enjoy leisurely atmosphere architectural style spanish steps built building funded french designed constructed italians large steps made travertine stone consist 3 large platforms divided 3 layers steps divided 12 sections total 137 stone steps steps sides connect platforms plane steps like vase forming moving curve change width steps matching steps walking make people feel rhythm relaxation relaxation completion large steps church east plaza past west disordered state large curvilinear steps organically unified squares streets different elevations different axes forming harmonious whole large steps around steps church overlooks square front steps boat fountain spreads coolness square little drops water work bernini father passionate romantic italian design teachers imaginative creative spanish steps reflects advantages free flexible style baroque architecture overall layout city
935,Spectrum Pharmaceuticals,"Is an American biopharmaceutical company located in Boston, MA. It develops and markets drugs for treatments in hematology and oncology",biotechnology,american biopharmaceutical company located boston develops markets drugs treatments hematology oncology
936,St Mark's Campanile,"The Bell Tower of San Marco belongs to the Basilica of San Marco. As the beacon of the city on the lagoon, the Bell Tower has long been regarded by the Venetians as an indisputable landmark of Venice, and its status in Venice is even more than the Basilica of San Marco itself.  The predecessor of St. Mark's Bell Tower was a watchtower built in the 9th century, which was later converted into a bell tower. In the centuries that followed, the Campanile of San Marco was damaged several times and underwent several reconstructions and renovations. Now it has become a tourist attraction for tourists from all over the world. Standing on St. Mark's Square, you can take pictures with the clock tower. The Bell Tower of San Marco is 98.6 meters high, with a brick red exterior and a simple structure. The lower half is a huge columnar building composed of bricks, each side is 12 meters long and 50 meters high. Above is the vaulted bell tower, where five clocks were previously placed. These five clocks have unique functions. Three-thirty (MezzaTerza) announces the meeting of the Senate, noon clock (Nona) heralds the arrival of noon, the workers clock (Marangona) marks the beginning and end of the working day, and the horseshoe clock (Trottiera) calls the House of Representatives. (MaggiorConsiglio) members participate in Parliament. In the past, the bells of the bell tower would ring all over Venice, but now only the workers' bell is left here. Above the arched bell tower is a square building, the outer walls are decorated with lions and Venetian justice women.To prevent corrosion from the sun and rain, the entire statue is wrapped in a thin gilded copper sheet. In addition to admiring the appearance of the bell tower on St.",None Related,bell tower san marco belongs basilica san marco beacon city lagoon bell tower long regarded venetians indisputable landmark venice status venice even basilica san marco predecessor mark bell tower watchtower built 9th century later converted bell tower centuries followed campanile san marco damaged several times underwent several reconstructions renovations become tourist attraction tourists world standing mark square take pictures clock tower bell tower san marco meters high brick red exterior simple structure lower half huge columnar building composed bricks side 12 meters long 50 meters high vaulted bell tower five clocks previously placed five clocks unique functions mezzaterza announces meeting senate noon clock nona heralds arrival noon workers clock marangona marks beginning end working day horseshoe clock trottiera calls house representatives maggiorconsiglio members participate parliament past bells bell tower would ring venice workers bell left arched bell tower square building outer walls decorated lions venetian justice prevent corrosion sun rain entire statue wrapped thin gilded copper sheet addition admiring appearance bell tower st
937,"St Paul's Cathedral, Melbourne","St. Paul's Cathedral is located at the intersection of Swanston Street and Flinders Street. Built in 1891, it is a famous building in the city of Melbourne. It is famous for its bluestone and fine wall lines. In 1932, the church added three more spires to make it look more magnificent. The church has stained glass windows, glazed tiles, wooden chairs and red vaulted skirts. There is also a huge organ, its brilliance and lustrous color blended with the red decoration of the church. There are several memorial statues stationed outside the church as well as a very beautiful small garden.",None Related,paul cathedral located intersection swanston street flinders street built 1891 famous building city melbourne famous bluestone fine wall lines 1932 church added three spires make look magnificent church stained glass windows glazed tiles wooden chairs red vaulted skirts also huge organ brilliance lustrous color blended red decoration church several memorial statues stationed outside church well beautiful small garden
938,St Pierre Cathedral,"Located in the old town of Geneva, St. Peter's Basilica is majestic and conspicuous. Built between 1160 and 1232, it was the pillar of faith for the citizens of Geneva. Unique mix-and-match style The cathedral has been rebuilt several times and incorporates a variety of architectural styles: the spectacular façade is built with white columns in the Greek Koslin style, rather like a Greek temple, and the main building of the church is Romanesque. With gothic spires and arches, it is very unique. Visit the interior of the church. The decoration of the interior of the church was extensively destroyed during the Protestant Reformation. Most of the paintings and sculptures were not spared, but the frescoes on the pulpit, the top of the pillars and the dome were still preserved. There is a large pipe organ above the entrance to the church, which now has additional speakers for better acoustics. There are benches and pulpit in the church hall, exquisite statues of saints and angels are carved above the vaulted colonnade, and the candles on the chandeliers emit warm yellow light, adding a hazy sense of holiness. John Calvin has presided over the promotion of the European Reformation Movement in St. Peter's Basilica since 1536. For 30 years, next to the pulpit on the left side of the church, you can see the wooden chair that Calvin used to sit on. The words ""Le Siege de Calvin"" (Calvin's headquarters) were engraved on it. In the southwest corner of St. Peter's Basilica is the Maccabee Chapel, a Gothic hall built in the 14th century as a warehouse and later as a lecture hall for propaganda of the Reformation. There are two towers overlooking St. Peter's Basilica in Geneva. You can enjoy a 360° view of Geneva by climbing the spiral staircase to the top of the tower. You can have a panoramic view of the old city of Geneva and Lake Geneva. The two towers communicate with each other and are connected by corridors.",None Related,located old town geneva peter basilica majestic conspicuous built 1160 1232 pillar faith citizens geneva unique style cathedral rebuilt several times incorporates variety architectural styles spectacular façade built white columns greek koslin style rather like greek temple main building church romanesque gothic spires arches unique visit interior church decoration interior church extensively destroyed protestant reformation paintings sculptures spared frescoes pulpit top pillars dome still preserved large pipe organ entrance church additional speakers better acoustics benches pulpit church hall exquisite statues saints angels carved vaulted colonnade candles chandeliers emit warm yellow light adding hazy sense holiness john calvin presided promotion european reformation movement peter basilica since 30 years next pulpit left side church see wooden chair calvin used sit words le siege de calvin calvin headquarters engraved southwest corner peter basilica maccabee chapel gothic hall built 14th century warehouse later lecture hall propaganda reformation two towers overlooking peter basilica geneva enjoy view geneva climbing spiral staircase top tower panoramic view old city geneva lake geneva two towers communicate connected corridors
939,St. Mark's Square,"St. Mark's Square is unique among European city squares, being located in the city center, but not as noisy as other squares, thanks to Venice's quiet waterway traffic. As a Venice landmark, it is favored by tourists, photographers and even pigeons. Piazza San Marco has historically been the political, religious and festival center of Venice, the seat of all important Venetian government institutions, the seat of the Archbishop since the 19th century, and the venue of choice for many Venetian festivals. More than 200 years have passed since the style layout, this trapezoidal square on the edge of the Grand Canal still has its charm. The square is about 170 meters long, 80 meters wide to the east and 55 meters wide to the west. From New Year's Day to Carnival to Christmas, the Venetians host festivals big and small in Piazza San Marco, and even on normal days, people from all over the world flock to this square. There is a circle of exquisite Renaissance-style buildings on the side of the square. St. Mark's Basilica, the Mint, and the Doge's Palace are located on the east side of the square. On the south side are the bell tower and the new and old parliament buildings. Climbing the bell tower can overlook the whole square panorama. . On the west side is the Corell Museum, and on the back is a row of boutiques selling gold jewelry, glass, clothing, home decoration, etc. The storefront is not large, but the window design is very eye-catching. Between the Doge's Palace and the Venetian Prison on the other side of the river is the Bridge of Sighs, and between the square and the Grand Canal is the small Piazza San Marco, where you can see two tall columns standing on the river bank, one of At the top is the statue of San Marco's lion ready to fly. At the top of the other column stands a statue of the holy San Theodore accompanied by a crocodile, both patrons of Venice. During the day, the square is crowded with tourists, and there are groups of tourists everywhere, and large groups of pigeons are flying around the square. If you want to feed the pigeons, you can buy biscuits to feed them. If you encounter a black person who feeds pigeons and corn, don’t take it. A small handful of rice is 10 euros. If you accept it, you can ask for money. However, white people generally only give 2-5 euros. If you see Asians in Italy, they will charge more. You can choose to stroll in the square, of course, you can also choose an outdoor cafe seat to sit and rest when you are tired. Although the restaurants and cafes in the square are very expensive, you won't mind because you can stop here for a while and let your eyeballs enjoy the feast of architectural art. The steeple church, Byzantine dome church, mosaic frescoes, marble carvings, and the elegant and elegant Doge's Palace next door are not to be missed. In addition, there are many street performers and mobile vendors in the square, selling some local souvenirs, the price ranges from 3-10 euros, you can buy some as souvenirs if you like. At the same time, the view of the square at night will not disappoint you. If you visit Piazza San Marco around 7:30 pm, you will be impressed by the sight in front of you. In each arch of the buildings around the square, there are lights emitting golden light, which illuminates the original white stone church with golden color, and the whole square is shrouded in a golden splendor. Some restaurants also have their own open-air LiveShow, and it is also a pleasure to watch a free performance here.",None Related,mark square unique among european city squares located city center noisy squares thanks venice quiet waterway traffic venice landmark favored tourists photographers even pigeons piazza san marco historically political religious festival center venice seat important venetian government institutions seat archbishop since 19th century venue choice many venetian festivals 200 years passed since style layout trapezoidal square edge grand canal still charm square 170 meters long 80 meters wide east 55 meters wide west new year day carnival christmas venetians host festivals big small piazza san marco even normal days people world flock square circle exquisite buildings side square mark basilica mint doge palace located east side square south side bell tower new old parliament buildings climbing bell tower overlook whole square panorama west side corell museum back row boutiques selling gold jewelry glass clothing home decoration etc storefront large window design doge palace venetian prison side river bridge sighs square grand canal small piazza san marco see two tall columns standing river bank one top statue san marco lion ready fly top column stands statue holy san theodore accompanied crocodile patrons venice day square crowded tourists groups tourists everywhere large groups pigeons flying around square want feed pigeons buy biscuits feed encounter black person feeds pigeons corn take small handful rice 10 euros accept ask money however white people generally give euros see asians italy charge choose stroll square course also choose outdoor cafe seat sit rest tired although restaurants cafes square expensive wo mind stop let eyeballs enjoy feast architectural art steeple church byzantine dome church mosaic frescoes marble carvings elegant elegant doge palace next door missed addition many street performers mobile vendors square selling local souvenirs price ranges euros buy souvenirs like time view square night disappoint visit piazza san marco around pm impressed sight front arch buildings around square lights emitting golden light illuminates original white stone church golden color whole square shrouded golden splendor restaurants also liveshow also pleasure watch free performance
940,St. Peter's Church,"St. Peter's Church is a Baroque church in Zurich nestled between winding alleys. The huge Roman-style tower built in the 13th century is the characteristic of the church. It was once used as a guard tower. The bell built in 1880 is the crown of Europe, and its dial is 8.7 meters in diameter. St. Peter's Church is the oldest church in Zurich, dating back around 900 years. In addition, the baptistery in the church, the beautifully carved choir seats, the relief decoration and the pipe organ are also worth seeing.",None Related,peter church baroque church zurich nestled winding alleys huge tower built 13th century characteristic church used guard tower bell built 1880 crown europe dial meters diameter peter church oldest church zurich dating back around 900 years addition baptistery church beautifully carved choir seats relief decoration pipe organ also worth seeing
941,St. Peter's Square,"The square is located in front of the cathedral and was built in the 17th century as a gathering place for Christianity. Standing in such a magnificent square, you will be shocked by its momentum. Tourists lined up to enter the church. Overview of the square The square concentrates the architectural essence of various eras and is one of the large public spaces. Take the elevator of the church to the top and overlook the whole city of Rome. The whole square is like a key. Two semi-circular colonnades formed by four rows of Doric columns form a huge ellipse, which surrounds the whole in an arc. The piazza then extends towards the cathedral, which, in Bernini's view, represents the arms of the church open to embrace the world. There are more than 140 sculptures on the colonnade of the square, all completed by Bernini and his students, all of which are religious figures. In the center of the square is the obelisk that Caligula brought back to Rome from Heliopolis. There are two fountains on both sides of the Piazza Fountain. The one on the right was built by Maderno in the 17th century, and the one on the left was a replica designed and later repaired by Bernini. Standing on the white marble between the column and the fountain, looking at the columns in the promenade, it is incredible that the 4 columns seem to have only one, and Bernini's great accomplishments can also be seen from here! Every year, pilgrims and tourists from all over the world come here for pilgrimage. Every January 1st and Christmas, 200,000 people often gather in the square. Every Sunday, thousands of people listen to the Pope's morning prayers broadcast on the balcony and receive the Pope's blessing.",None Related,square located front cathedral built 17th century gathering place christianity standing magnificent square shocked momentum tourists lined enter church overview square square concentrates architectural essence various eras one large public spaces take elevator church top overlook whole city rome whole square like key two colonnades formed four rows doric columns form huge ellipse surrounds whole arc piazza extends towards cathedral bernini view represents arms church open embrace world 140 sculptures colonnade square completed bernini students religious figures center square obelisk caligula brought back rome heliopolis two fountains sides piazza fountain one right built maderno 17th century one left replica designed later repaired bernini standing white marble column fountain looking columns promenade incredible 4 columns seem one bernini great accomplishments also seen every year pilgrims tourists world come pilgrimage every january 1st christmas people often gather square every sunday thousands people listen pope morning prayers broadcast balcony receive pope blessing
942,Starfield COEX Mall,"COEXMALL is a large entertainment shopping center in Seoul. It covers an area of nearly 120,000 square meters and has more than 250 large-scale business units. It has been regarded as the amusement place in Seoul since its opening. There are various shopping places in COEXMALL, such as movie theaters, bookstores, audio-visual stores, large aquariums, etc. There are all kinds of delicious, beautiful and fun things.",None Related,coexmall large entertainment shopping center seoul covers area nearly square meters 250 business units regarded amusement place seoul since opening various shopping places coexmall movie theaters bookstores stores large aquariums etc kinds delicious beautiful fun things
943,Starfield Library,"The library, which has been very popular since its opening in May 2017, is located in COEXMALL, a department store in Gangnam District. It has attracted a large number of pilgrims in a short period of time and has become a popular landmark for photography and leisure. The interior is quite spacious and open, and this library features 3 large bookshelves up to 13 meters high, surrounding everyone, as if walking into a wonderful world like a fairy tale, as well as more than 50,000 books and magazines. It has a brand-new equipment e-book system, which is convenient for everyone to view and read. The magazine area also provides more than 600 kinds of domestic and foreign content for people to read. In addition, there are also many sofas and various tables and chairs in the library, which are convenient for everyone to read and rest here. The light is completely projected by natural light. The brightness inside during the day will definitely make you feel like you are bathed in the sun. Reading, watching the starry sky at night, embellishing the interior lighting to feel the romantic atmosphere.",None Related,library popular since opening may 2017 located coexmall department store gangnam district attracted large number pilgrims short period time become popular landmark photography leisure interior quite spacious open library features 3 large bookshelves 13 meters high surrounding everyone walking wonderful world like fairy tale well books magazines equipment system convenient everyone view read magazine area also provides 600 kinds domestic foreign content people read addition also many sofas various tables chairs library convenient everyone read rest light completely projected natural light brightness inside day definitely make feel like bathed sun reading watching starry sky night embellishing interior lighting feel romantic atmosphere
944,Starship Technologies,"Creates autonomous robots that help to deliver items within a 4-mile radius. These AI robots are able to take items like groceries, food delivery orders or retail store orders and deliver them to customers using artificial intelligence to navigate their route",robotic,creates autonomous robots help deliver items within radius ai robots able take items like groceries food delivery orders retail store orders deliver customers using artificial intelligence navigate route
945,Stone Forest,"The Stone Forest is one of Kunming’s must-see sites. Boasting a classic karst topography, the Stone Forest is full of rocky peaks, jagged rocky outcroppings, water caves, and underground rivers. The Stone Forest is centered around the Major Stone Forest and Minor Stone Forest scenic areas. The Minor Stone Forest is thick with outcroppings of rocky peaks, and the Ashima Stone stands here, named after the legendary Yi maiden who turned into the stone when she was forbidden to marry the one she loved. At the Major Stone Forest scenic area, visitors can enjoy the reflection of the Stone Forest in the Lion Pool, or take a boat ride on the Stone Forest Lake.",None Related,stone forest one kunming sites boasting classic karst topography stone forest full rocky peaks jagged rocky outcroppings water caves underground rivers stone forest centered around major stone forest minor stone forest scenic areas minor stone forest thick outcroppings rocky peaks ashima stone stands named legendary yi maiden turned stone forbidden marry one loved major stone forest scenic area visitors enjoy reflection stone forest lion pool take boat ride stone forest lake
946,Strateos,"biotechnology company specializing in automating chemistry, biology, and tissue analysis into closed loop robotic labs that are intended to accelerate drug discovery programs. It was founded as a merger between Transcriptic and 3Scan in 2019. The company's products are used in applications such as elastic chemistry, biomarker assays, cell-based assays, and biochemical assays",bioinformatic,biotechnology company specializing automating chemistry biology tissue analysis closed loop robotic labs intended accelerate drug discovery programs founded merger transcriptic 3scan company products used applications elastic chemistry biomarker assays assays biochemical assays
947,Stryker,"One of the largest biotechnology companies in the United States., Stryker makes robotic-arm assisted surgery machines. Using 3D modeling of bone anatomy, the company’s Mako robots assist surgeons in joint surgeries for partial and total hip and knee replacements.        

In June 2017, the Stryker Mako robot performed the 100,000th robotic-arm-assisted surgery in the United States when it helped surgeons complete a knee surgery",robotic,one largest biotechnology companies united stryker makes assisted surgery machines using 3d modeling bone anatomy company mako robots assist surgeons joint surgeries partial total hip knee replacements june 2017 stryker mako robot performed surgery united states helped surgeons complete knee surgery
948,Sugarloaf Mountain,"Sugarloaf Mountain is located at the mouth of Guanabara Bay. It consists of two hills. Because its shape resembles a mold for making bread, it has the reputation of ""Sugarloaf Mountain"". It occupies an important military location. The Portuguese A fortress was built under the mountain to defend the territory. 1. Watching guide After taking the cable car to the peak, look north, you will have a panoramic view of the Flamenco Riviera Park; look south, Copacabana Beach is close at hand; look east, the statue of Jesus Christ is awe-inspiring Respect; looking west, the sea level of the Atlantic Ocean is vast. Try to avoid the tourist peaks of 10:00-11:00 and 14:00-15:00. It is a good time to climb Bread Mountain around 4:00 in the afternoon. At this time, you can enjoy the sunset in the direction of Jesus Mountain. The scene of burning clouds is very Majestic. 2. The place where the success rate of marriage proposals is high It is said that Sugarloaf Mountain is still the place where the success rate of marriage proposals is relatively high. Take her beloved to the top of Sugarloaf Mountain, and promise her a lifetime on the picturesque peak, which is very romantic. In addition, a restaurant, Cota200Restauran, was built on the mountain, where you can enjoy delicious food and enjoy the beautiful scenery again and again.",None Related,sugarloaf mountain located mouth guanabara bay consists two hills shape resembles mold making bread reputation sugarloaf mountain occupies important military location portuguese fortress built mountain defend territory watching guide taking cable car peak look north panoramic view flamenco riviera park look south copacabana beach close hand look east statue jesus christ respect looking west sea level atlantic ocean vast try avoid tourist peaks good time climb bread mountain around afternoon time enjoy sunset direction jesus mountain scene burning clouds majestic place success rate marriage proposals high said sugarloaf mountain still place success rate marriage proposals relatively high take beloved top sugarloaf mountain promise lifetime picturesque peak romantic addition restaurant cota200restauran built mountain enjoy delicious food enjoy beautiful scenery
949,Summer Palace,"Situated in the Haidian District northwest of Beijing, the Summer Palace is a Unesco World Heritage site that used to be the palace and garden of the emperors of the Qing Dynasty. It is the largest and most well preserved royal park in China. Construction of the palace began in 1750 and it served as a residential and entertainment area for the royal members. The palace underwent two major reconstructions after suffering damages during invasions by the Anglo-French Allied Forces and the Eight-Power Allied Forces during the late 19th and early 20th centuries. The Summer Palace can be divided into three sectors: a political activity area centered at the Hall of Benevolence and Longevity; an empress living area concentrated around the Hall of Jade Billows and Hall of Joy and Longevity; and a tour route concentrated along the long corridor, rear hill, and the west sector.",None Related,situated haidian district northwest beijing summer palace unesco world heritage site used palace garden emperors qing dynasty largest well preserved royal park china construction palace began 1750 served residential entertainment area royal members palace underwent two major reconstructions suffering damages invasions allied forces allied forces late 19th early 20th centuries summer palace divided three sectors political activity area centered hall benevolence longevity empress living area concentrated around hall jade billows hall joy longevity tour route concentrated along long corridor rear hill west sector
950,Sunway Lagoon Theme Park,"• Enjoy the joyful world of six theme parks• A fantastic experience for all ages• Enjoy thrilling rides
△ Get ready for an adrenaline rush as you experience an exhilarating roller coaster.
△ A variety of water activities will bring you a cool summer.
△ See fascinating wildlife up close and learn about their habits.",None Related,enjoy joyful world six theme fantastic experience enjoy thrilling rides get ready adrenaline rush experience exhilarating roller coaster variety water activities bring cool summer see fascinating wildlife close learn habits
951,Sunway Lost World of Tambun,"• A water park suitable for all ages, it not only has fun activities for children, but also an artificial white sand beach where adults can relax.• The park includes water park, amusement park, mini zoo, Tiger Valley, Tin Valley, adventure park, hot spring spa center and many other theme parks.• The 600-meter-long adventure river in the park is equipped with a wave engine. Visitors can enjoy the caves around the park through the river and feel the excitement of turbulent waves and splashing water. It is a classic experience of Lost Paradise.
△Get up close and personal with animals
△Parent-child family fun",None Related,water park suitable ages fun activities children also artificial white sand beach adults park includes water park amusement park mini zoo tiger valley tin valley adventure park hot spring spa center many theme adventure river park equipped wave engine visitors enjoy caves around park river feel excitement turbulent waves splashing water classic experience lost paradise close personal animals family fun
952,Swiss Museum of Transport,"The Swiss Transport Museum is one of the representative transport museums in Europe and a museum in the University of Lucerne. It displays the development of transport and communication through exhibitions, theme parks, simulation demonstrations, interactive radio and movies. Located on the edge of Lake Lucerne, the museum has a beautiful environment with both indoor exhibition halls and outdoor exhibition areas, like a big park. The museum introduces the knowledge and history of land, sea, air and machinery in an easy-to-understand manner. Visitors can also sit in the driver's seat for the experience, or come to the engine room to observe the machine in motion. In addition, there are also facilities such as a planetarium, a chocolate adventure exhibition and an IMAX high-definition theater where you can view the universe or the sea, and you need to purchase tickets separately.",None Related,swiss transport museum one representative transport museums europe museum university lucerne displays development transport communication exhibitions theme parks simulation demonstrations interactive radio movies located edge lake lucerne museum beautiful environment indoor exhibition halls outdoor exhibition areas like big park museum introduces knowledge history land sea air machinery manner visitors also sit driver seat experience come engine room observe machine motion addition also facilities planetarium chocolate adventure exhibition imax theater view universe sea need purchase tickets separately
953,Swiss Sheep Farm,"If you love to take pictures, please come to Hua Hin Sheep Farm, the park is not big, but you can take pictures everywhere. You can take wedding photos here. There are many buses from Bangkok to Hua Hin, which is the place for the Royal Thai vacation. From the manor, it takes 10 minutes to drive to Hua Hin seaside. There are few people, beautiful scenery and quiet. The signboard is the Swiss Sheep Ranch. The pasture is empty, and there is Swiss feel. The environment decoration design is quite European, suitable for couples to play. It is full of small European-style bungalows, carrying a group of lambs on their backs. It is worth mentioning that there are several swans on the lake.",None Related,love take pictures please come hua hin sheep farm park big take pictures everywhere take wedding photos many buses bangkok hua hin place royal thai vacation manor takes 10 minutes drive hua hin seaside people beautiful scenery quiet signboard swiss sheep ranch pasture empty swiss feel environment decoration design quite european suitable couples play full small bungalows carrying group lambs backs worth mentioning several swans lake
954,Sydney Fish Market,"The Sydney Fish Market is a combined wholesale, retail and catering market. If you are a seafood lover, the Sydney Fish Market is definitely a must for Sydney. There is a variety of seafood from Australia and abroad: huge Australian lobster, king crab, oysters, salmon, squid and more. Many seafood stores sell already processed seafood, or you can have it processed in other locations within the market which should be less expensive and very fresh. In addition to trying delicious food in a restaurant, you can take it outside and enjoy a delicious picnic.",None Related,sydney fish market combined wholesale retail catering market seafood lover sydney fish market definitely must sydney variety seafood australia abroad huge australian lobster king crab oysters salmon squid many seafood stores sell already processed seafood processed locations within market less expensive fresh addition trying delicious food restaurant take outside enjoy delicious picnic
955,Sydney Harbour Bridge,"The Sydney Harbour Bridge is construction representative of early Sydney. It is like a long rainbow across the bay, facing the world-famous Sydney Opera House across the sea, becoming a symbol of Sydney. Built in 1932, the Sydney Harbour Bridge has a total length of 1,149 meters, a width of 139 meters and a commanding height of 503 meters. It is a world famous steel arch bridge. Now climbing the Sydney Bridge has become Sydney's more popular tourist attraction. In addition to climbing, you can also drive under the bridge, take the train through the bridge or sail under the bridge, but the fullest experience is had by walking the bridge.",None Related,sydney harbour bridge construction representative early sydney like long rainbow across bay facing sydney opera house across sea becoming symbol sydney built 1932 sydney harbour bridge total length meters width 139 meters commanding height 503 meters world famous steel arch bridge climbing sydney bridge become sydney popular tourist attraction addition climbing also drive bridge take train bridge sail bridge fullest experience walking bridge
956,Sydney Opera House,"The Sydney Opera House is a symbol of Australia. It is recognized as one of the Seven Wonders of the 20th Century and is also a landmark in Sydney. Its white exterior, a shell-like sculpture built on the harbour, like scattered petals floating in the air, have for many years left observers in amazement. It houses a concert hall, a music theatre, a performance theatre, a children's theatre and a photography studio. Auctions, concerts and other events are held every month or even every week.△ Enjoy wonderful performances from all over the world△ Behind the scenes, walks, tours and experiences△ Admire the magnificent scenery of Sydney Harbor and enjoy a leisurely afternoon tea time",None Related,sydney opera house symbol australia recognized one seven wonders 20th century also landmark sydney white exterior sculpture built harbour like scattered petals floating air many years left observers amazement houses concert hall music theatre performance theatre children theatre photography studio auctions concerts events held every month even every enjoy wonderful performances behind scenes walks tours admire magnificent scenery sydney harbor enjoy leisurely afternoon tea time
957,Sydney Tower Eye,"Built in 1981, the Sydney Tower is a observation point that offers a panoramic view of the city. And it is also one of the three landamarks of Sydney, together with the Sydney Opera House and Sydney Harbour Bridge. It is quite worthwhile to visit this Centrepoint. The Sydney Tower stands 300m above the CBD. The four sections are occupied respectively by two revolving restaurants, a observation deck and a café. The observation deck is equipped with high-powered telescopes, through which visitors can see the scenery as far as 70 kilometers. At the peak of the Sydney Tower, you can also walk outside the tower 260 meters above the ground, exthremely exciting.△ 360° overlooking the beautiful scenery of Sydney city△ Enjoy the beautiful sunset and city night view△ Experience walking on the glass platform on the top of the tower",None Related,built 1981 sydney tower observation point offers panoramic view city also one three landamarks sydney together sydney opera house sydney harbour bridge quite worthwhile visit centrepoint sydney tower stands 300m cbd four sections occupied respectively two revolving restaurants observation deck café observation deck equipped telescopes visitors see scenery far 70 kilometers peak sydney tower also walk outside tower 260 meters ground exthremely overlooking beautiful scenery sydney enjoy beautiful sunset city night experience walking glass platform top tower
958,Symbiotic,"Symbotic provides organizations with a comprehensive software platform that can orchestrate the collective movements of an entire robot fleet. Through the use of artificial intelligence, the platform simultaneously connects to robotic arms, autonomous robots and other types of machines. Users of Symbotic’s platform can then coordinate different actions through controls and algorithms while collecting data to inform their processes",robotic,symbotic provides organizations comprehensive software platform orchestrate collective movements entire robot fleet use artificial intelligence platform simultaneously connects robotic arms autonomous robots types machines users symbotic platform coordinate different actions controls algorithms collecting data inform processes
959,Syntagma Square,"It's an open, tree-lined city square with fountains, cafés and park benches, and you can watch the Changing of the Guard ceremony on the hour.",None Related,open city square fountains cafés park benches watch changing guard ceremony hour
960,Syntagma Square,"It's an open, tree-lined city square with fountains, cafés and park benches, and you can watch the Changing of the Guard ceremony on the hour.",None Related,open city square fountains cafés park benches watch changing guard ceremony hour
